Name;ReleaseDate;Action;Adventure;Children;Comedy;Crime;Documentary;Drama;Fantasy;Noir;Horror;Musical;Mystery;Romance;SciFi;Thriller;War;Western;AvgRating;Watches
NEW Toy Story (1995);1995;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.15;2077
NEW Jumanji (1995);1995;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3.2;701
NEW Grumpier Old Men (1995);1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.02;478
Waiting to Exhale (1995);1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2.73;170
Father of the Bride Part II (1995);1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.01;296
Heat (1995);1995;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3.88;940
Sabrina (1995);1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.41;458
Tom and Huck (1995);1995;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.01;68
Sudden Death (1995);1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.66;102
GoldenEye (1995);1995;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.54;888
American President, The (1995);1995;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;3.79;1033
Dracula: Dead and Loving It (1995);1995;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2.36;160
Balto (1995);1995;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.26;99
Nixon (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.54;153
Cutthroat Island (1995);1995;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2.46;146
Casino (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.79;682
Sense and Sensibility (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;4.03;835
Four Rooms (1995);1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.34;157
Ace Ventura: When Nature Calls (1995);1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.48;389
Money Train (1995);1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.54;160
Get Shorty (1995);1995;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.62;1356
Copycat (1995);1995;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;3.35;378
Assassins (1995);1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.86;126
Powder (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3.18;624
Leaving Las Vegas (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.65;980
Othello (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.53;100
Now and Then (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.93;61
Persuasion (1995);1995;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4.06;179
City of Lost Children, The (1995);1995;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4.06;403
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.65;74
Dangerous Minds (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.11;141
Twelve Monkeys (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3.95;1511
Wings of Courage (1995);1995;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;4
Babe (1995);1995;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.89;1751
Carrington (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.31;70
Dead Man Walking (1995);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.96;928
Across the Sea of Time (1995);1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.5;8
It Takes Two (1995);1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.82;28
NEW Clueless (1995);1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.62;1362
